"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"2026-05-23 오후 2:13:51","7036","Information","Service Control Manager","The Print Spooler service entered the running state."
"2026-05-23 오후 2:13:51","7040","Information","Service Control Manager","The start type of the Print Spooler service was changed from disabled to auto start."
"2026-05-23 오후 2:13:04","7036","Information","Service Control Manager","The Network Setup Service service entered the stopped state."
"2026-05-23 오후 2:12:11","7036","Information","Service Control Manager","The Windows Update service entered the running state."
"2026-05-23 오후 2:10:57","7036","Information","Service Control Manager","The Windows Modules Installer service entered the stopped state."
"2026-05-23 오후 2:10:35","7036","Information","Service Control Manager","The Print Spooler service entered the stopped state."
"2026-05-23 오후 2:10:03","7036","Information","Service Control Manager","The Network Setup Service service entered the running state."
"2026-05-23 오후 2:09:32","7040","Information","Service Control Manager","The start type of the Print Spooler service was changed from auto start to disabled."
"2026-05-23 오후 2:09:25","1014","Warning","Microsoft-Windows-DNS-Client","Name resolution for the name mobile.events.data.microsoft.com timed out after none of the configured DNS servers responded."
"2026-05-23 오후 2:08:55","7036","Information","Service Control Manager","The Windows Modules Installer service entered the running state."
"2026-05-23 오후 2:08:45","7036","Information","Service Control Manager","The Software Protection service entered the stopped state."
