"TimeCreated","Id","LevelDisplayName","ProviderName","Message"
"2026-05-21 오후 10:54:44","26","정보","Microsoft-Windows-Sysmon","File Delete logged:
RuleName: FileDeleteDetectedLab
UtcTime: 2026-05-21 13:54:44.897
ProcessGuid: {5a157986-0c92-6a0f-9c02-000000005200}
ProcessId: 6204
User: DESKTOP-BAK6QER\jso45
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\GT\ground_truth.json
Hashes: MD5=B64FFAF6420C85A3E95E3391B12CFBD4,SHA256=BE55E2B23E3FE1189ADB7340752DC8D9ADD4A7607F632D44BD3C5875308D5DAD,IMPHASH=00000000000000000000000000000000
IsExecutable: false"
"2026-05-21 오후 10:54:44","5","정보","Microsoft-Windows-Sysmon","Process terminated:
RuleName: -
UtcTime: 2026-05-21 13:54:44.897
ProcessGuid: {5a157986-0deb-6a0f-c702-000000005200}
ProcessId: 1852
Image: C:\Users\jso45\AppData\Local\Programs\Python\Python313\python.exe
User: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:44","5","정보","Microsoft-Windows-Sysmon","Process terminated:
RuleName: -
UtcTime: 2026-05-21 13:54:44.883
ProcessGuid: {5a157986-0deb-6a0f-c502-000000005200}
ProcessId: 9832
Image: C:\Users\jso45\AppData\Local\Programs\Python\Python313\python.exe
User: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:44","5","정보","Microsoft-Windows-Sysmon","Process terminated:
RuleName: -
UtcTime: 2026-05-21 13:54:44.866
ProcessGuid: {5a157986-0deb-6a0f-c302-000000005200}
ProcessId: 8480
Image: C:\Users\jso45\AppData\Local\Programs\Python\Python313\python.exe
User: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:44","5","정보","Microsoft-Windows-Sysmon","Process terminated:
RuleName: -
UtcTime: 2026-05-21 13:54:44.850
ProcessGuid: {5a157986-0deb-6a0f-c102-000000005200}
ProcessId: 7892
Image: C:\Users\jso45\AppData\Local\Programs\Python\Python313\python.exe
User: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:39","10","정보","Microsoft-Windows-Sysmon","Process accessed:
RuleName: -
UtcTime: 2026-05-21 13:54:39.428
SourceProcessGUID: {5a157986-ec82-6a0e-3d00-000000005200}
SourceProcessId: 2864
SourceThreadId: 7416
SourceImage: C:\Windows\system32\svchost.exe
TargetProcessGUID: {5a157986-ec8c-6a0e-b200-000000005200}
TargetProcessId: 3596
TargetImage: C:\Windows\system32\svchost.exe
GrantedAccess: 0x1000
CallTrace: C:\Windows\SYSTEM32\ntdll.dll+9e674|C:\Windows\System32\RPCRT4.dll+49f54|C:\Windows\System32\combase.dll+cd75c|c:\windows\system32\windows.staterepository.dll+2252b|c:\windows\system32\windows.staterepository.dll+9fb5|C:\Windows\System32\RPCRT4.dll+77a03|C:\Windows\System32\RPCRT4.dll+d7eeb|C:\Windows\System32\RPCRT4.dll+119a9|C:\Windows\System32\combase.dll+bc63c|C:\Windows\System32\RPCRT4.dll+5c8cb|C:\Windows\System32\combase.dll+963b3|C:\Windows\System32\combase.dll+9613e|C:\Windows\System32\combase.dll+bfb36|C:\Windows\System32\combase.dll+52b73|C:\Windows\System32\combase.dll+acbfd|C:\Windows\System32\combase.dll+3b486|C:\Windows\System32\combase.dll+fd3d8|C:\Windows\System32\combase.dll+3d449|C:\Windows\System32\RPCRT4.dll+5a878|C:\Windows\System32\RPCRT4.dll+35106|C:\Windows\System32\RPCRT4.dll+34d36|C:\Windows\System32\RPCRT4.dll+41acf|C:\Windows\System32\RPCRT4.dll+41088|C:\Windows\System32\RPCRT4.dll+40671
SourceUser: NT AUTHORITY\SYSTEM
TargetUser: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:35","1","정보","Microsoft-Windows-Sysmon","Process Create:
RuleName: -
UtcTime: 2026-05-21 13:54:35.658
ProcessGuid: {5a157986-0e9b-6a0f-f202-000000005200}
ProcessId: 7048
Image: C:\Windows\System32\cmd.exe
FileVersion: 10.0.19041.4355 (WinBuild.160101.0800)
Description: Windows Command Processor
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Cmd.Exe
CommandLine: ""C:\Windows\system32\cmd.exe"" /c exit 0 
CurrentDirectory: C:\ELP\ForensicLab\scenario\
User: DESKTOP-BAK6QER\jso45
LogonGuid: {5a157986-ec89-6a0e-4408-0a0000000000}
LogonId: 0xA0844
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=2B40C98ED0F7A1D3B091A3E8353132DC,SHA256=BADF4752413CB0CBDC03FB95820CA167F0CDC63B597CCDB5EF43111180E088B0,IMPHASH=272245E2988E1E430500B852C4FB5E18
ParentProcessGuid: {5a157986-0c92-6a0f-9c02-000000005200}
ParentProcessId: 6204
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:29","26","정보","Microsoft-Windows-Sysmon","File Delete logged:
RuleName: FileDeleteDetectedLab
UtcTime: 2026-05-21 13:54:29.882
ProcessGuid: {5a157986-0e95-6a0f-f102-000000005200}
ProcessId: 7528
User: DESKTOP-BAK6QER\jso45
Image: C:\Windows\system32\cmd.exe
TargetFilename: C:\ProgramData\WinSvc\{93AD7F}\NORMAL~1.TXT
Hashes: MD5=51DBA8BC5CC7CC4C7B30B6214DC13CAF,SHA256=38991DACADF84B44B4954811B51F4464E2D821CA80E667D830E1F0E9327015CC,IMPHASH=00000000000000000000000000000000
IsExecutable: false"
"2026-05-21 오후 10:54:29","1","정보","Microsoft-Windows-Sysmon","Process Create:
RuleName: -
UtcTime: 2026-05-21 13:54:29.847
ProcessGuid: {5a157986-0e95-6a0f-f102-000000005200}
ProcessId: 7528
Image: C:\Windows\System32\cmd.exe
FileVersion: 10.0.19041.4355 (WinBuild.160101.0800)
Description: Windows Command Processor
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: Cmd.Exe
CommandLine: ""C:\Windows\system32\cmd.exe"" /c rmdir /s /q ""C:\ProgramData\WinSvc\{93AD7F}"" 
CurrentDirectory: C:\ELP\ForensicLab\scenario\
User: DESKTOP-BAK6QER\jso45
LogonGuid: {5a157986-ec89-6a0e-4408-0a0000000000}
LogonId: 0xA0844
TerminalSessionId: 1
IntegrityLevel: High
Hashes: MD5=2B40C98ED0F7A1D3B091A3E8353132DC,SHA256=BADF4752413CB0CBDC03FB95820CA167F0CDC63B597CCDB5EF43111180E088B0,IMPHASH=272245E2988E1E430500B852C4FB5E18
ParentProcessGuid: {5a157986-0c92-6a0f-9c02-000000005200}
ParentProcessId: 6204
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-BAK6QER\jso45"
"2026-05-21 오후 10:54:28","26","정보","Microsoft-Windows-Sysmon","File Delete logged:
RuleName: FileDeleteDetectedLab
UtcTime: 2026-05-21 13:54:28.226
ProcessGuid: {5a157986-0e94-6a0f-f002-000000005200}
ProcessId: 1944
User: DESKTOP-BAK6QER\jso45
Image: C:\Windows\system32\cmd.exe
TargetFilename: C:\ProgramData\WinSvc\TaskCache.dat
Hashes: MD5=D1928A9F7CA588E8EC98CF59AEC7E872,SHA256=EA26225AA6D8E93C46D1EC223642BD0E39C17A82A45C418067032EE75956C160,IMPHASH=00000000000000000000000000000000
IsExecutable: false"
